,campo,tabla
0,id_tabla,Tablas
1,nombre,Tablas
2,endpoint,Tablas
3,tipo,Tablas
4,Desc,Tablas
5,id_usuario,USUARIOS
6,username,USUARIOS
7,email,USUARIOS
8,isAvailable,USUARIOS
9,usertype,USUARIOS
10,idusertype,USUARIOS
11,IdArchivo,ARCHIVOS
12,PathArchivo,ARCHIVOS
13,NameArchivo,ARCHIVOS
14,IdEstudiante,ARCHIVOS
15,IdPractica,ARCHIVOS
16,TipoArchivo,ARCHIVOS
17,IdEstudiante,ALUMNOS
18,Nombres ,ALUMNOS
19,ApellidoMaterno,ALUMNOS
20,ApellidoPaterno,ALUMNOS
21,Institucion,ALUMNOS
22,Carrera,ALUMNOS
23,Pais,ALUMNOS
24,idcampo,DiccionarioDatos
25,id_tabla,DiccionarioDatos
26,campo,DiccionarioDatos
27,tipo_dato,DiccionarioDatos
28,PK/FK,DiccionarioDatos
29,Descripcion,DiccionarioDatos
30,ejemplo,DiccionarioDatos
31,IdTransaccion,TRANSENTRADA
32,TipoTransaccion,TRANSENTRADA
33,Status,TRANSENTRADA
34,IdEstudiante,TRANSENTRADA
35,IdSesion,TRANSENTRADA
36,Descripcion,TRANSENTRADA
37,IdNode,TRANSACCIONESAUDITOR
38,NameNode,TRANSACCIONESAUDITOR
39,TipoTransaccion,TRANSACCIONESAUDITOR
40,FechaTransaccion,TRANSACCIONESAUDITOR
41,IdUser,TRANSACCIONESAUDITOR
42,LogProceso,TRANSACCIONESAUDITOR
43,IdContrato,CONTRATOS
44,NombreContrato,CONTRATOS
45,TipoContrato,CONTRATOS
46,DescContrato,CONTRATOS
47,EspecificacionContrato,CONTRATOS
48,IdSesion,SESIONES
49,fechacreacion,SESIONES
50,idestudiante,SESIONES
51,serilizable,SESIONES
52,ultimafechaacceso,SESIONES
53,maqueta,SESIONES
54,IdProfesor,PROFESORES
55,Nombres ,PROFESORES
56,ApellidoMaterno,PROFESORES
57,ApellidoPaterno,PROFESORES
58,Institucion,PROFESORES
59,Carrera,PROFESORES
60,Pais,PROFESORES
61,IdMaqueta,MAQUETA
62,ComponentesMaqueta,MAQUETA
63,Disponible,MAQUETA
64,Inputs,MAQUETA
65,Outputs,MAQUETA
66,id,TIPOUSUARIO
67,isAvailable,TIPOUSUARIO
68,name,TIPOUSUARIO
69,credits,TIPOUSUARIO
70,SerializedSet,TIPOUSUARIO
71,subject,TIPOUSUARIO
72,idcurso,COURSES
73,nombre,COURSES
74,idprofesor,COURSES
75,IdOperacion,SUPERVISOROPERACIONES
76,NameOperacion,SUPERVISOROPERACIONES
77,DescOperacion,SUPERVISOROPERACIONES
78,EstatusOperacion,SUPERVISOROPERACIONES
79,FechaOperacion,SUPERVISOROPERACIONES
80,IdAsignacion,ASIGNACIONMAQUETAS
81,FechaAsignacion,ASIGNACIONMAQUETAS
82,IdEstudiante,ASIGNACIONMAQUETAS
83,idMaqueta,ASIGNACIONMAQUETAS
84,TiempoUso,ASIGNACIONMAQUETAS
85,IdComponente,COMPONENTES
86,NameComponente,COMPONENTES
87,TipoComponente,COMPONENTES
88,Especificaciones,COMPONENTES
89,idPais,PAISES
90,Codi,PAISES
91,Nombre,PAISES
92,isAvaible,PAISES
93,id,INSTITUCIONES
94,name,INSTITUCIONES
95,siglas,INSTITUCIONES
96,isAvailable,INSTITUCIONES
97,idCountry,INSTITUCIONES
98,id,FACULTADES
99,Name,FACULTADES
100,isAvailabe,FACULTADES
101,idCarrera,CARRERAS
102,name,CARRERAS
103,IdInstitución,CARRERAS
104,isAvaible,CARRERAS
105,IdMateria,MATERIAS
106,Nombre ,MATERIAS
107,isAvaible,MATERIAS
108,idCarrera,MATERIAS
109,idPractica,PRACTICAS
110,Nombre,PRACTICAS
111,isAvaible,PRACTICAS
112,idMateria ,PRACTICAS
113,createDate,PRACTICAS
114,SerializedSet,PRACTICAS
