id,topic,code_topic,date_time
0,information_input,7242940108,2024-12-04 12:15:11.558236
1,information_nodes,9434649104,2024-12-04 12:15:11.558236
2,database_nodes,2248823092,2024-12-04 12:15:11.558236
3,top_supervisor_operations,1240869364,2024-12-04 12:15:11.558236
4,top_auditor_transactions,3349624069,2024-12-04 12:15:11.558236
5,db_supervisor,6338150616,2024-12-04 12:15:11.558236
6,db_auditor,2410092725,2024-12-04 12:15:11.558236
7,top_transactions,3518639636,2024-12-04 12:15:11.558236
8,top_transactions_input,9917079049,2024-12-04 12:15:11.558236
9,top_transactions_accepted,6153930515,2024-12-04 12:15:11.558236
10,top_console,6347982728,2024-12-04 12:15:11.558236
11,top_files_hex,8674932649,2024-12-04 12:15:11.558236
12,top_files_bit,7684218598,2024-12-04 12:15:11.558236
13,/input_transactioner,3896264622,2024-12-04 12:15:11.558236
14,top_files_bin,9238493197,2024-12-04 12:15:11.558236
15,top_files_py,5554645175,2024-12-04 12:15:11.558236
